"GSE","Line","Agent","est","null_p","src","q"
"GSE125437","OCI-AML3","Brequinar",0.0201568507884886,0.174912543728136,"counts",0.401393897645772
"GSE89637","AML cell line","T-3775440",0.0204664226949174,0.140429785107446,"array",0.365266346418627
"GSE87580","HEL92.1.7","T-3775440",0.0216253462619878,0.0824587706146927,"array",0.287277413924617
"GSE121291","AML cell line  THP-1","NVP2",0.0217462996972152,0.0999500249875062,"array",0.298674192315607
"GSE34672","HL-60","LSD1 shRNA #1",0.0219160112433937,0.175412293853073,"array",0.401393897645772
"GSE34726","HL-60","LSD1 shRNA #1",0.0219160112433937,0.172913543228386,"array",0.401393897645772
"GSE125437","EOL-1","EPZ-5676",0.022077139006988,0.0829585207396302,"counts",0.287277413924617
"GSE125437","MOLM-13","EPZ-5676",0.0224953089681989,0.063968015992004,"counts",0.261566186603668
"GSE34672","HL-60","LSD1 shRNA #2",0.0229268101220809,0.178910544727636,"array",0.402152905847961
"GSE34726","HL-60","LSD1 shRNA #2",0.0229268101220809,0.183908045977011,"array",0.405551461557357
"GSE89637","AML cell line","T-3775440+Pevonedistat",0.0230161700593988,0.207396301849075,"array",0.431792300571026
"GSE125437","OCI-AML5","EPZ-5676",0.0237512696055643,0.0269865067466267,"counts",0.149012450296591
"GSE241649","MOLM14","IL3",0.0238730937095946,0.0679660169915042,"counts",0.261566186603668
"GSE123207","HL60","AZA",0.0255107483864085,0.024487756121939,"array",0.141040590815703
"GSE241649","MOLM14","FLT3i + IL3",0.025963237743562,0.0854572713643178,"counts",0.287277413924617
"GSE219230","ML-2","CM-444",0.0278095375216671,0.222888555722139,"counts",0.445269552723638
"GSE55154","K562","MS27-275",0.0287416254005243,0.0984507746126937,"array",0.298674192315607
"GSE226461","patient-derived xenograft (PDX) AML cells","quizartinib",0.030477018213143,0.0249875062468766,"array",0.141040590815703
"GSE135030","MEC1","Flud_50uM",0.0309497527915638,0.0534732633683158,"counts",0.242539444563433
"GSE241649","MOLM14","RASi + IL3",0.0318536115769207,0.110944527736132,"counts",0.320226250511108
"GSE125437","SEM","EPZ-5676",0.0341732491676595,0.00699650174912544,"counts",0.0732326144619998
"GSE125437","HL-60","EPZ-5676",0.0347755080147478,0.0114942528735632,"counts",0.0941787170930664
"GSE125437","Jurkat","EPZ-5676",0.0348336636346698,0.0139930034982509,"counts",0.111069465267366
"GSE260759","OCI-AML2","ARM165-",0.0383982361344015,0.0844577711144428,"counts",0.287277413924617
"GSE55154","U937","SAHA",0.0396407418195941,0.0169915042478761,"array",0.119884502193348
"GSE46302","HL-60","R406",0.0415946832293814,0.000499750124937531,"array",0.0141040590815703
"GSE219230","HL-60","CM-444",0.0423290337697827,0.0174912543728136,"counts",0.120075097586342
"GSE55154","U937","MS27-275",0.0429789299932032,0.0154922538730635,"array",0.115736249522298
"GSE240439","HL-60","Decitabine",0.0459085921634831,0.0899550224887556,"counts",0.289916770010057
"GSE55154","NB4","SAHA",0.0505311195261676,0.0214892553723138,"array",0.136456771614193
"GSE182680","human T cell leukemia cells","dasatininb",0.0541668901611607,0.00549725137431284,"counts",0.0698150924537731
"GSE241649","MOLM14","RASi",0.0590918265946215,0.00449775112443778,"counts",0.0601278308214314
"GSE219230","HL-60","Vorinostat",0.0618945651785227,0.000499750124937531,"counts",0.0141040590815703
"GSE219230","ML-2","Panobinostat",0.064947617595745,0.00949525237381309,"counts",0.0831653138947768
"GSE219230","HL-60","CM-1758",0.0689704008597245,0.000499750124937531,"counts",0.0141040590815703
"GSE219230","ML-2","CM-1758",0.0739966744019287,0.00849575212393803,"counts",0.0770686085528664
"GSE55154","NB4","MS27-275",0.095813185746189,0.000499750124937531,"array",0.0141040590815703
"GSE34965","sorted CD45+CD33+CD19-CD3- AML blasts","CWP",0.246078705926282,0.00349825087456272,"array",0.0592370481425954
