"GSM","SampleTitle","Score","GSE","Platform","GenesFound","GenesExpected","TreatmentRaw","CellLine","Genotype","IsControl","Agent","AgentConfidence","Log2Applied"
"GSM4709296","wild-type cells 100 nM negativ control of NTR prodrug treated - rep1",4.11906373103408,"GSE155640","GPL23159",5,6,"a NTR prodrug of negative control (structurally related to OG86, but inactive on LSD1)","THP1 wild-type cells",NA,TRUE,"control","control",TRUE
"GSM4709297","wild-type cells vehicle treated - rep1",4.17154669089063,"GSE155640","GPL23159",5,6,"vehicle DMSO","THP1 wild-type cells",NA,TRUE,"control","control",TRUE
"GSM4709298","NTR-expressing cells 50 nM LSD1 inhibitor treated - rep1",4.21524925416694,"GSE155640","GPL23159",5,6,"LSD1 inhibitor OG86","NfsB-positive THP1 cells",NA,FALSE,"LSD1 OG86","high",TRUE
"GSM4709299","NTR-expressing cells 100 nM LSD1 inhibitor treated - rep1",4.23151093118641,"GSE155640","GPL23159",5,6,"LSD1 inhibitor OG86","NfsB-positive THP1 cells",NA,FALSE,"LSD1 OG86","high",TRUE
"GSM4709300","NTR-expressing cells 50 nM NTR prodrug treated - rep1",4.25519219216935,"GSE155640","GPL23159",5,6,"NTR prodrug of LSD1 inhibitor","NfsB-positive THP1 cells",NA,FALSE,"NTR LSD1","high",TRUE
"GSM4709301","NTR-expressing cells 100 nM NTR prodrug treated - rep1",4.24241979662815,"GSE155640","GPL23159",5,6,"NTR prodrug of LSD1 inhibitor","NfsB-positive THP1 cells",NA,FALSE,"NTR LSD1","high",TRUE
"GSM4709302","NTR-expressing cells 100 nM negativ control of LSD1 inhibitor treated - rep1",4.20767469105124,"GSE155640","GPL23159",5,6,"a negative control (structurally related to OG86, but inactive on LSD1)","NfsB-positive THP1 cells",NA,TRUE,"control","control",TRUE
"GSM4709303","NTR-expressing cells 100 nM negativ control of NTR prodrug treated - rep1",4.21072605050813,"GSE155640","GPL23159",5,6,"a NTR prodrug of negative control (structurally related to OG86, but inactive on LSD1)","NfsB-positive THP1 cells",NA,TRUE,"control","control",TRUE
"GSM4709304","NTR-expressing cells vehicle treated - rep1",4.20079445451002,"GSE155640","GPL23159",5,6,"vehicle DMSO","NfsB-positive THP1 cells",NA,TRUE,"control","control",TRUE
"GSM4709305","wild-type cells 50 nM LSD1 inhibitor treated - rep2",4.12739755379406,"GSE155640","GPL23159",5,6,"LSD1 inhibitor OG86","THP1 wild-type cells",NA,FALSE,"LSD1 OG86","high",TRUE
